Fecha,Producto,Categoría,Cantidad,Precio Unitario,Vendedor,Promoción,Hora,EsFinDeSemana,EsFestivo,NombreFestivo
2025-10-08,Cargador,Accesorios,4,15.64,María,Sí,16,0,0,
2025-12-08,Teclado,Accesorios,9,53.6,Ana,Sí,15,0,0,
2024-11-10,Audífonos,Accesorios,8,140.56,Luisa,No,11,1,0,
2023-08-21,Cargador,Accesorios,2,11.64,María,No,20,0,0,
2022-08-02,Mouse,Accesorios,3,13.51,María,Sí,12,0,0,
2025-01-18,Teclado,Accesorios,2,92.4,María,Sí,10,1,0,
2023-10-19,Laptop,Electrónica,5,1756.55,Pedro,No,18,0,0,
2023-05-20,Tablet,Electrónica,6,1110.89,Luisa,Sí,13,1,0,
2025-03-13,Monitor,Electrónica,5,158.42,María,Sí,20,0,0,
2024-07-24,Audífonos,Accesorios,3,79.16,Luisa,Sí,18,0,0,
2024-09-02,Disco SSD,Componentes,1,211.6,Carlos,Sí,11,0,0,
2023-05-15,Audífonos,Accesorios,5,34.56,Carlos,No,11,0,0,
2024-04-01,Tablet,Electrónica,2,694.41,María,No,13,0,0,
2022-09-22,Cargador,Accesorios,5,11.73,María,Sí,17,0,0,
2025-03-07,Monitor,Electrónica,1,577.15,Carlos,No,15,0,0,
2022-07-15,Laptop,Electrónica,4,1112.24,Luisa,No,16,0,0,
2023-06-08,Audífonos,Accesorios,2,195.29,Jorge,No,11,0,0,
2022-06-10,Mouse,Accesorios,3,22.7,Carlos,No,18,0,0,
2022-09-22,Monitor,Electrónica,3,323.2,Pedro,No,20,0,0,
2024-03-22,Disco SSD,Componentes,2,84.62,Carlos,Sí,12,0,0,
2023-12-25,Mouse,Accesorios,5,37.26,Carlos,No,14,0,1,Navidad
2024-06-14,Disco SSD,Componentes,5,94.05,Jorge,Sí,12,0,0,
2025-12-28,Cargador,Accesorios,11,49.4,Carlos,Sí,18,1,0,
2024-08-17,Monitor,Electrónica,3,224.24,Pedro,No,11,1,0,
2023-02-24,Disco SSD,Componentes,3,286.78,Luisa,Sí,19,0,0,
2025-01-08,Teclado,Accesorios,1,29.67,Carlos,No,14,0,0,
2023-04-18,Laptop,Electrónica,4,767.88,María,No,18,0,0,
2025-12-23,Laptop,Electrónica,5,1760.88,Carlos,Sí,14,0,0,
2022-05-15,Teclado,Accesorios,7,90.56,María,Sí,13,1,0,
2023-03-09,Teclado,Accesorios,1,71.55,Carlos,Sí,20,0,0,
2024-09-29,Disco SSD,Componentes,2,75.35,Jorge,No,8,1,0,
2025-01-31,Tablet,Electrónica,2,463.84,Luisa,Sí,11,0,0,
2023-09-06,Monitor,Electrónica,2,205.59,Pedro,No,12,0,0,
2024-06-15,Mouse,Accesorios,7,76.67,Luisa,Sí,14,1,0,
2022-06-22,Mouse,Accesorios,3,51.89,Pedro,No,16,0,0,
2024-12-01,Mouse,Accesorios,6,37.09,Luisa,No,18,1,0,
2025-11-17,Audífonos,Accesorios,7,44.92,Pedro,No,20,0,0,
2024-02-24,Monitor,Electrónica,4,297.43,María,No,18,1,0,
2023-09-26,Laptop,Electrónica,4,1685.7,Jorge,Sí,20,0,0,
2023-12-24,Tablet,Electrónica,9,641.69,Ana,No,18,1,1,Noche Buena
2023-03-15,Disco SSD,Componentes,4,175.41,Luisa,No,19,0,0,
2023-03-13,Disco SSD,Componentes,3,67.18,Carlos,No,11,0,0,
2024-06-17,Tablet,Electrónica,5,1075.88,María,Sí,20,0,0,
2023-08-07,Disco SSD,Componentes,3,343.82,Luisa,Sí,17,0,0,
