"tarjeta"|"monto"|"comercio"|"fecha"|"tipo"
90|2067.31|"Gasolineras"|2020-01-05|"transaccion"
67|1871.79|"Supermercados"|2020-02-16|"transaccion"
1|2171.59|"Supermercados"|2020-06-04|"transaccion"
90|692.46|"Gasolineras"|2020-01-14|"transaccion"
31|1463.87|"Tiendas por Departamento"|2020-05-28|"transaccion"
67|1486.79|"Supermercados"|2020-04-05|"transaccion"
41|1063.01|"Restaurantes"|2020-01-02|"transaccion"
51|753.29|"Supermercados"|2020-04-30|"transaccion"
49|415|"Supermercados"|2020-06-12|"transaccion"
2|1019.72|"Supermercados"|2020-03-05|"transaccion"
41|1123.95|"Supermercados"|2020-02-28|"transaccion"
77|1841.91|"Gasolineras"|2020-05-20|"transaccion"
50|1270.5|"Comercio General"|2020-04-15|"transaccion"
67|1058.65|"Restaurantes"|2020-04-16|"transaccion"
78|1433.21|"Supermercados"|2020-04-20|"transaccion"
11|1878.91|"Gasolineras"|2020-03-08|"transaccion"
32|2000.11|"Restaurantes"|2020-02-02|"transaccion"
98|976.02|"Gasolineras"|2020-01-01|"transaccion"
57|1680.3|"Restaurantes"|2020-01-11|"transaccion"
37|1792.22|"Farmacias"|2020-06-29|"transaccion"
58|2077.51|"Gasolineras"|2020-06-30|"transaccion"
87|1095.7|"Abarroterias"|2020-04-02|"transaccion"
100|1351.98|"Supermercados"|2020-02-23|"transaccion"
43|1376.1|"Supermercados"|2020-06-16|"transaccion"
7|1830.82|"Restaurantes"|2020-05-14|"transaccion"
64|1596.24|"Supermercados"|2020-02-29|"transaccion"
30|1990.66|"Supermercados"|2020-01-05|"transaccion"
87|2300.71|"Supermercados"|2020-04-04|"transaccion"
76|88.97|"Restaurantes"|2020-02-07|"transaccion"
22|772.33|"Supermercados"|2020-02-17|"transaccion"
40|1822.49|"Comercio General"|2020-02-28|"transaccion"
51|1149.89|"Gasolineras"|2020-06-13|"transaccion"
31|2369.86|"Supermercados"|2020-03-04|"transaccion"
86|853.73|"Restaurantes"|2020-06-08|"transaccion"
26|1598.81|"Restaurantes"|2020-04-24|"transaccion"
98|1247.51|"Tiendas por Departamento"|2020-05-11|"transaccion"
62|1797.29|"Gasolineras"|2020-04-17|"transaccion"
68|1636.92|"Supermercados"|2020-04-28|"transaccion"
47|2589.12|"Restaurantes"|2020-03-27|"transaccion"
16|1918.64|"Farmacias"|2020-05-23|"transaccion"
4|1071.06|"Restaurantes"|2020-05-07|"transaccion"
96|1129.08|"Gasolineras"|2020-04-05|"transaccion"
8|504.37|"Tiendas por Departamento"|2020-03-05|"transaccion"
31|1672.44|"Gasolineras"|2020-03-17|"transaccion"
23|2682.28|"Restaurantes"|2020-01-05|"transaccion"
28|1188.23|"Gasolineras"|2020-02-26|"transaccion"
90|35.92|"Supermercados"|2020-02-26|"transaccion"
18|1374.84|"Supermercados"|2020-05-08|"transaccion"
47|1864.38|"Tiendas por Departamento"|2020-05-29|"transaccion"
21|1536.36|"Restaurantes"|2020-02-08|"transaccion"
95|1020.16|"Restaurantes"|2020-01-06|"transaccion"
64|1636.22|"Supermercados"|2020-03-25|"transaccion"
53|1428.55|"Gasolineras"|2020-06-04|"transaccion"
44|1536.09|"Supermercados"|2020-05-30|"transaccion"
7|1620.59|"Gasolineras"|2020-06-08|"transaccion"
43|2089.84|"Supermercados"|2020-03-13|"transaccion"
87|1400.77|"Restaurantes"|2020-03-24|"transaccion"
92|1749.78|"Restaurantes"|2020-02-09|"transaccion"
44|3179.66|"Tiendas por Departamento"|2020-06-30|"transaccion"
46|2220.7|"Supermercados"|2020-04-06|"transaccion"
94|1499.94|"Supermercados"|2020-01-03|"transaccion"
37|2406.41|"Supermercados"|2020-03-17|"transaccion"
33|1868.05|"Ropa"|2020-05-27|"transaccion"
49|1738.43|"Supermercados"|2020-06-07|"transaccion"
32|1246.88|"Supermercados"|2020-02-13|"transaccion"
96|2009.92|"Restaurantes"|2020-06-03|"transaccion"
54|2112.32|"Farmacias"|2020-02-29|"transaccion"
74|1072.12|"Supermercados"|2020-05-14|"transaccion"
68|1532.87|"Tiendas por Departamento"|2020-01-29|"transaccion"
88|2221.2|"Tiendas por Departamento"|2020-06-08|"transaccion"
90|855.53|"Supermercados"|2020-05-23|"transaccion"
9|1690.81|"Abarroterias"|2020-02-23|"transaccion"
2|1692.02|"Gasolineras"|2020-05-06|"transaccion"
46|901.86|"Supermercados"|2020-01-24|"transaccion"
16|446.44|"Electronicos"|2020-06-27|"transaccion"
29|1819.83|"Restaurantes"|2020-04-11|"transaccion"
100|1443.26|"Ropa"|2020-04-04|"transaccion"
90|1534.47|"Comercio General"|2020-01-26|"transaccion"
57|2117.91|"Supermercados"|2020-01-09|"transaccion"
89|2706.25|"Abarroterias"|2020-01-09|"transaccion"
29|1346.96|"Supermercados"|2020-05-21|"transaccion"
95|1304.89|"Tiendas por Departamento"|2020-03-21|"transaccion"
66|1576.33|"Electronicos"|2020-04-29|"transaccion"
39|1949.02|"Restaurantes"|2020-01-05|"transaccion"
83|1519.65|"Supermercados"|2020-06-12|"transaccion"
26|656.26|"Restaurantes"|2020-06-19|"transaccion"
22|1925.61|"Farmacias"|2020-06-29|"transaccion"
96|1336.31|"Abarroterias"|2020-02-13|"transaccion"
47|1270.29|"Ropa"|2020-02-28|"transaccion"
30|1370.39|"Comercio General"|2020-01-27|"transaccion"
43|1707.09|"Supermercados"|2020-03-07|"transaccion"
94|2407.14|"Supermercados"|2020-06-12|"transaccion"
36|1791.14|"Restaurantes"|2020-02-05|"transaccion"
80|2058.16|"Comercio General"|2020-05-10|"transaccion"
79|843.99|"Restaurantes"|2020-02-05|"transaccion"
59|1656.37|"Supermercados"|2020-02-28|"transaccion"
28|1675.19|"Restaurantes"|2020-02-10|"transaccion"
92|2108.06|"Restaurantes"|2020-02-08|"transaccion"
72|1973.31|"Supermercados"|2020-04-24|"transaccion"
63|818.52|"Gasolineras"|2020-05-25|"transaccion"
89|2110.36|"Ropa"|2020-04-13|"transaccion"
7|647.93|"Gasolineras"|2020-03-20|"transaccion"
32|633|"Gasolineras"|2020-04-10|"transaccion"
76|1524.87|"Supermercados"|2020-02-08|"transaccion"
9|2510.42|"Supermercados"|2020-05-03|"transaccion"
27|2080.54|"Supermercados"|2020-06-02|"transaccion"
59|1183.05|"Restaurantes"|2020-06-09|"transaccion"
59|758.02|"Restaurantes"|2020-04-13|"transaccion"
40|2397.23|"Farmacias"|2020-05-28|"transaccion"
64|883.86|"Farmacias"|2020-01-10|"transaccion"
21|988.63|"Tiendas por Departamento"|2020-01-24|"transaccion"
2|1546.58|"Electronicos"|2020-02-13|"transaccion"
23|1935.07|"Ropa"|2020-06-01|"transaccion"
43|1458.73|"Supermercados"|2020-06-05|"transaccion"
100|1434.27|"Tiendas por Departamento"|2020-06-29|"transaccion"
82|1954.83|"Gasolineras"|2020-05-03|"transaccion"
75|1077.45|"Restaurantes"|2020-04-13|"transaccion"
83|1743.61|"Restaurantes"|2020-03-29|"transaccion"
49|2027.26|"Gasolineras"|2020-02-07|"transaccion"
66|1801.26|"Restaurantes"|2020-01-31|"transaccion"
40|1827.93|"Gasolineras"|2020-05-22|"transaccion"
48|2043.27|"Supermercados"|2020-06-07|"transaccion"
27|833.94|"Supermercados"|2020-06-23|"transaccion"
54|1651.74|"Tiendas por Departamento"|2020-05-29|"transaccion"
38|1933.38|"Farmacias"|2020-06-01|"transaccion"
49|1083.51|"Restaurantes"|2020-06-13|"transaccion"
76|549.4|"Farmacias"|2020-06-18|"transaccion"
100|1890.75|"Tiendas por Departamento"|2020-04-29|"transaccion"
78|488.66|"Restaurantes"|2020-06-19|"transaccion"
75|1607.67|"Restaurantes"|2020-06-20|"transaccion"
93|465.67|"Restaurantes"|2020-01-22|"transaccion"
36|1245.79|"Gasolineras"|2020-01-20|"transaccion"
32|1535.55|"Supermercados"|2020-03-17|"transaccion"
23|1002.32|"Gasolineras"|2020-06-24|"transaccion"
2|1345|"Tiendas por Departamento"|2020-04-28|"transaccion"
53|1742.3|"Restaurantes"|2020-06-16|"transaccion"
90|985.4|"Electronicos"|2020-01-06|"transaccion"
96|1798.64|"Gasolineras"|2020-01-18|"transaccion"
44|972.35|"Abarroterias"|2020-04-22|"transaccion"
99|1677.3|"Restaurantes"|2020-02-28|"transaccion"
13|2118.02|"Restaurantes"|2020-03-16|"transaccion"
93|1152.5|"Supermercados"|2020-01-03|"transaccion"
88|1700.45|"Comercio General"|2020-01-10|"transaccion"
65|1423.77|"Supermercados"|2020-01-26|"transaccion"
20|2199.15|"Restaurantes"|2020-03-02|"transaccion"
93|1552.18|"Restaurantes"|2020-03-05|"transaccion"
44|1693.34|"Comercio General"|2020-06-04|"transaccion"
98|540.97|"Electronicos"|2020-03-25|"transaccion"
26|678.91|"Supermercados"|2020-03-22|"transaccion"
22|1275.2|"Restaurantes"|2020-03-31|"transaccion"
11|1249.46|"Abarroterias"|2020-06-30|"transaccion"
83|1056.58|"Gasolineras"|2020-03-23|"transaccion"
41|1522.26|"Abarroterias"|2020-05-17|"transaccion"
88|2466.62|"Supermercados"|2020-06-04|"transaccion"
51|1673.4|"Restaurantes"|2020-03-11|"transaccion"
16|1175.3|"Comercio General"|2020-02-18|"transaccion"
81|715.83|"Gasolineras"|2020-02-08|"transaccion"
95|1707.93|"Ropa"|2020-05-05|"transaccion"
7|1068.77|"Supermercados"|2020-04-28|"transaccion"
33|1256.65|"Abarroterias"|2020-05-12|"transaccion"
82|1486.25|"Supermercados"|2020-01-02|"transaccion"
9|2298.53|"Electronicos"|2020-02-11|"transaccion"
34|2401.8|"Tiendas por Departamento"|2020-01-12|"transaccion"
34|2063.26|"Tiendas por Departamento"|2020-05-16|"transaccion"
58|1788.75|"Supermercados"|2020-04-25|"transaccion"
9|1326.85|"Restaurantes"|2020-01-21|"transaccion"
41|1093.4|"Comercio General"|2020-03-14|"transaccion"
50|157.33|"Restaurantes"|2020-05-15|"transaccion"
46|2061.05|"Supermercados"|2020-06-18|"transaccion"
81|880.96|"Restaurantes"|2020-03-19|"transaccion"
82|1463.29|"Supermercados"|2020-06-19|"transaccion"
80|1260.88|"Supermercados"|2020-03-22|"transaccion"
93|2005.72|"Abarroterias"|2020-03-23|"transaccion"
89|2259.53|"Restaurantes"|2020-06-22|"transaccion"
33|2432.41|"Electronicos"|2020-05-17|"transaccion"
35|1408.57|"Restaurantes"|2020-01-20|"transaccion"
27|1944.67|"Supermercados"|2020-04-02|"transaccion"
71|2052.55|"Supermercados"|2020-01-31|"transaccion"
85|1076.35|"Gasolineras"|2020-05-27|"transaccion"
37|1766.25|"Comercio General"|2020-02-11|"transaccion"
48|1103.1|"Supermercados"|2020-05-02|"transaccion"
64|1111.27|"Supermercados"|2020-05-10|"transaccion"
96|2160.64|"Supermercados"|2020-06-12|"transaccion"
78|1379.63|"Tiendas por Departamento"|2020-01-15|"transaccion"
65|1465.15|"Restaurantes"|2020-06-30|"transaccion"
1|1508.88|"Supermercados"|2020-01-18|"transaccion"
56|1138.02|"Restaurantes"|2020-01-19|"transaccion"
40|960.89|"Electronicos"|2020-01-04|"transaccion"
19|1074.44|"Farmacias"|2020-06-08|"transaccion"
29|2048.1|"Supermercados"|2020-03-01|"transaccion"
38|234.14|"Tiendas por Departamento"|2020-04-21|"transaccion"
32|2243.33|"Restaurantes"|2020-02-23|"transaccion"
100|2193.54|"Gasolineras"|2020-04-03|"transaccion"
52|578.37|"Gasolineras"|2020-03-11|"transaccion"
24|1808.99|"Gasolineras"|2020-03-06|"transaccion"
67|1005.23|"Electronicos"|2020-02-12|"transaccion"
78|1769.95|"Restaurantes"|2020-05-08|"transaccion"
8|1381.13|"Gasolineras"|2020-02-19|"transaccion"
100|1596.65|"Farmacias"|2020-06-07|"transaccion"
73|2160.21|"Comercio General"|2020-04-20|"transaccion"
28|1228.83|"Ropa"|2020-04-05|"transaccion"
